combined,algoritmo,packet_size,hook_ebpf,var_ip,timeout,rx_packets,rx_packet_rate_avg,rx_packet_rate,latencymean
4,for_0_a_6400,128,xdpdrv,0.0.0.255,60,15236357,114025.09,256073.45,0.0643049808
8,for_0_a_6400,1500,xdpgeneric,0.0.0.255,60,22908799,214412.02,385022.33,0.0851639975
8,for_0_a_6400,256,xdpgeneric,0.0.0.255,60,23044581,678005.59,387304.36,0.0843622415
4,for_0_a_6400,1500,xdpgeneric,0.0.0.255,60,13761813,178253.12,231291.26,0.071058766
1,for_0_a_6400,256,xdpdrv,0.0.0.255,60,0,0.0,0.0,0.0
1,for_0_a_6400,512,xdpgeneric,0.0.0.255,60,0,0.0,0.0,0.0
1,for_0_a_6400,64,xdpgeneric,0.0.0.255,60,3604977,63212.5,60587.91,-2056.4166820237
1,for_0_a_6400,1500,xdpdrv,0.0.0.255,60,0,0.0,0.0,0.0
4,for_0_a_6400,512,xdpdrv,0.0.0.255,60,15233857,0.0,256031.3,0.0644419433
1,for_0_a_6400,512,xdpdrv,0.0.0.255,60,0,0.0,0.0,0.0
4,for_0_a_6400,128,xdpgeneric,0.0.0.255,60,13754432,131061.6,231167.6,-179.5944926734
2,for_0_a_6400,1500,xdpdrv,0.0.0.255,60,6146688,0.0,103306.22,0.080152927
8,for_0_a_6400,64,xdpdrv,0.0.0.255,60,30523270,32932.34,512997.8,0.0641704879
2,for_0_a_6400,1024,xdpgeneric,0.0.0.255,60,7109750,151285.93,119491.74,0.0686846479
2,for_0_a_6400,64,xdpdrv,0.0.0.255,60,6151939,0.0,103394.04,0.0795061869
2,for_0_a_6400,128,xdpdrv,0.0.0.255,60,6156801,0.0,103475.74,0.0795257256
8,for_0_a_6400,128,xdpgeneric,0.0.0.255,60,23012209,381539.27,386760.88,-106.9326644115
8,for_0_a_6400,128,xdpdrv,0.0.0.255,60,30528513,0.0,513084.01,0.0641810281
1,for_0_a_6400,128,xdpdrv,0.0.0.255,60,0,0.0,0.0,0.0
1,for_0_a_6400,1500,xdpgeneric,0.0.0.255,60,0,0.0,0.0,0.0
4,for_0_a_6400,256,xdpgeneric,0.0.0.255,60,13761425,152207.0,231284.73,0.0706801697
1,for_0_a_6400,128,xdpgeneric,0.0.0.255,60,0,0.0,0.0,0.0
2,for_0_a_6400,512,xdpgeneric,0.0.0.255,60,7106170,93984.96,119431.56,-347.6844989288
2,for_0_a_6400,1500,xdpgeneric,0.0.0.255,60,7104741,131578.95,119407.56,0.0688832478
8,for_0_a_6400,64,xdpgeneric,0.0.0.255,60,23034832,608150.47,387140.55,-320.6517130384
2,for_0_a_6400,512,xdpdrv,0.0.0.255,60,6192513,0.0,104076.21,0.0792157757
4,for_0_a_6400,64,xdpdrv,0.0.0.255,60,15237827,0.0,256097.85,0.0642596647
4,for_0_a_6400,1024,xdpdrv,0.0.0.255,60,15232192,0.0,256003.46,0.0646299969
2,for_0_a_6400,64,xdpgeneric,0.0.0.255,60,7106998,72621.64,119445.49,-1043.0693557236
4,for_0_a_6400,1500,xdpdrv,0.0.0.255,60,15223552,0.0,255858.19,0.0648089802
1,for_0_a_6400,1024,xdpdrv,0.0.0.255,60,0,0.0,0.0,0.0
8,for_0_a_6400,256,xdpdrv,0.0.0.255,60,30534016,0.0,513179.49,0.0641988112
2,for_0_a_6400,128,xdpgeneric,0.0.0.255,60,7099235,217391.3,119315.02,-348.0242996504
1,for_0_a_6400,256,xdpgeneric,0.0.0.255,60,0,0.0,0.0,0.0
2,for_0_a_6400,256,xdpgeneric,0.0.0.255,60,7099418,216450.22,119318.25,0.0685141715
2,for_0_a_6400,1024,xdpdrv,0.0.0.255,60,6176883,1249999.99,103813.44,0.0796038747
4,for_0_a_6400,64,xdpgeneric,0.0.0.255,60,13763441,625000.0,231318.8,-538.5721384751
1,for_0_a_6400,1024,xdpgeneric,0.0.0.255,60,0,0.0,0.0,0.0
8,for_0_a_6400,512,xdpgeneric,0.0.0.255,60,23002119,149100.78,386590.7,-106.9794767028
8,for_0_a_6400,1500,xdpdrv,0.0.0.255,60,30524096,0.0,513010.3,0.0645845611
1,for_0_a_400,256,xdpgeneric,0.0.0.255,60,30262703,387596.9,508619.11,0.0081899072
1,for_0_a_400,64,xdpdrv,0.0.0.255,60,45798871,276243.09,769732.13,0.0054531436
2,for_0_a_400,1500,xdpgeneric,0.0.0.255,60,48986719,757575.74,823309.46,0.001670682
4,for_0_a_400,512,xdpgeneric,0.0.0.255,60,104533296,1183431.97,1756865.51,-23.6306995075
1,for_0_a_400,1500,xdpgeneric,0.0.0.255,60,29169673,217391.31,490248.41,0.008947945
1,for_0_a_400,256,xdpdrv,0.0.0.255,60,45803233,6392693.97,769803.14,0.0055203968
2,for_0_a_400,512,xdpgeneric,0.0.0.255,60,50354827,277034.77,846300.69,-49.0656791963
4,for_0_a_400,128,xdpdrv,0.0.0.255,60,212606850,98814.23,3573229.17,0.0047362833
8,for_0_a_400,256,xdpdrv,0.0.0.255,60,269916487,428265.52,4536417.54,0.001361987
8,for_0_a_400,128,xdpdrv,0.0.0.255,60,423028483,4761905.28,7109731.98,0.0047614161
1,for_0_a_400,128,xdpdrv,0.0.0.255,60,45848450,14196.48,770562.24,0.0054718332
4,for_0_a_400,1024,xdpgeneric,0.0.0.255,60,71343559,649350.64,1199052.97,0.0010713949
8,for_0_a_400,128,xdpgeneric,0.0.0.255,60,200419905,628930.81,3368405.98,-12.3202630562
2,for_0_a_400,1500,xdpdrv,0.0.0.255,60,49003416,763358.77,823590.41,0.0056559376
4,for_0_a_400,1024,xdpdrv,0.0.0.255,60,71356369,645161.3,1199272.5,0.0010780236
4,for_0_a_400,256,xdpgeneric,0.0.0.255,60,104073340,675675.67,1749139.13,0.0094902336
4,for_0_a_400,1500,xdpdrv,0.0.0.255,60,49007185,1818181.88,823653.4,0.00098467
2,for_0_a_400,256,xdpdrv,0.0.0.255,60,83191175,111821.09,1398172.39,0.0060573504
4,for_0_a_400,64,xdpgeneric,0.0.0.255,60,104261099,1123595.51,1752289.77,-71.0964617434
2,for_0_a_400,1024,xdpgeneric,0.0.0.255,60,50457403,641025.65,848024.64,0.0100775486
2,for_0_a_400,512,xdpdrv,0.0.0.255,60,82979654,1785714.32,1394617.78,0.0061737933
8,for_0_a_400,1500,xdpdrv,0.0.0.255,60,49005859,390677.62,823631.14,0.0018218824
8,for_0_a_400,64,xdpdrv,0.0.0.255,60,424736792,4411764.65,7138443.48,0.0047249397
1,for_0_a_400,1024,xdpgeneric,0.0.0.255,60,29432850,649350.66,494670.37,0.0087096361
8,for_0_a_400,256,xdpgeneric,0.0.0.255,60,199508566,3448275.83,3353089.55,0.0098857538
2,for_0_a_400,1024,xdpdrv,0.0.0.255,60,71332242,1212121.17,1198862.85,0.0046949998
8,for_0_a_400,1024,xdpdrv,0.0.0.255,60,71355634,1775147.95,1199255.83,0.001723346
2,for_0_a_400,256,xdpgeneric,0.0.0.255,60,50380911,641025.65,846739.14,0.0098016549
4,for_0_a_400,128,xdpgeneric,0.0.0.255,60,104486901,1257861.63,1756088.77,-23.6413178949
4,for_0_a_400,64,xdpdrv,0.0.0.255,60,212907008,9333333.0,3578273.69,0.0047139972
8,for_0_a_400,512,xdpdrv,0.0.0.255,60,140044451,3349282.37,2353693.09,0.001397153
1,for_0_a_400,512,xdpgeneric,0.0.0.255,60,29784405,645161.28,500580.6,-82.9609202695
8,for_0_a_400,64,xdpgeneric,0.0.0.255,60,187594417,1818181.88,3152854.32,-39.5087182384
1,for_0_a_400,1500,xdpdrv,0.0.0.255,60,45979682,278551.53,772768.68,0.0059966459
2,for_0_a_400,128,xdpdrv,0.0.0.255,60,83138434,47984.64,1397288.87,0.0060203486
4,for_0_a_400,256,xdpdrv,0.0.0.255,60,212775638,3389830.43,3576065.72,0.0047749524
2,for_0_a_400,64,xdpdrv,0.0.0.255,60,83252581,4878048.97,1399204.83,0.0059923056
2,for_0_a_400,64,xdpgeneric,0.0.0.255,60,50136447,766283.53,842630.65,-147.8582400749
8,for_0_a_400,1024,xdpgeneric,0.0.0.255,60,71354991,1851851.94,1199245.02,0.0009686521
1,for_0_a_400,512,xdpdrv,0.0.0.255,60,45977859,35523.98,772737.48,0.0056010688
4,for_0_a_400,1500,xdpgeneric,0.0.0.255,60,49002467,641167.37,823571.96,0.0014735887
1,for_0_a_400,1024,xdpdrv,0.0.0.255,60,46012801,34602.08,773325.37,0.005811289
4,for_0_a_400,512,xdpdrv,0.0.0.255,60,140028734,384615.38,2353434.33,0.0025593786
8,for_0_a_400,1500,xdpgeneric,0.0.0.255,60,49006605,384666.4,823641.48,0.0011906613
1,for_0_a_400,128,xdpgeneric,0.0.0.255,60,30417197,392209.9,511214.05,-81.2351585338
8,for_0_a_400,512,xdpgeneric,0.0.0.255,60,139999070,1742160.31,2352928.43,-17.6507655606
2,for_0_a_400,128,xdpgeneric,0.0.0.255,60,50225431,847457.62,844128.29,-49.1922234193
1,for_0_a_400,64,xdpgeneric,0.0.0.255,60,30406889,602409.64,511041.33,-243.8043478773
4,for_0_a_1,1500,xdpdrv,0.0.0.255,60,49006488,390625.0,823639.61,0.0008478013
8,for_0_a_1,64,xdpgeneric,0.0.0.255,60,312350110,9523809.44,5249588.53,-23.7285024654
4,for_0_a_1,64,xdpdrv,0.0.0.255,60,753032595,13035080.84,12656025.6,0.0005713076
2,for_0_a_1,1500,xdpgeneric,0.0.0.255,60,49004276,1086956.53,823602.26,0.0013408948
4,for_0_a_1,1024,xdpdrv,0.0.0.255,60,71357091,1273885.35,1199280.34,0.0006417614
1,for_0_a_1,64,xdpgeneric,0.0.0.255,60,63653927,636942.68,1069815.22,-116.4630102448
8,for_0_a_1,64,xdpdrv,0.0.0.255,60,744956330,12391093.89,12520289.1,0.0006035133
