combined,algoritmo,packet_size,hook_ebpf,var_ip,timeout,task_clock,context_switches,cpu_migrations,page_faults,cycles,instructions,branches,branch_misses,L1_dcache_loads,L1_dcache_load_misses,LLC_loads,LLC_load_misses,L1_icache_load_misses,dTLB_loads,dTLB_load_misses,iTLB_loads,iTLB_load_misses
8,for_0_a_0,64,xdpdrv,0.0.0.255,60,0,84,1,0,64,1.247.118,1.041.564,211.821,7.817,278.218,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
2,for_0_a_800,1024,xdpgeneric,0.0.0.255,60,1,24,1,0,64,986.488,1.004.885,204.649,7.814,268.252,15.214,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
4,for_0_a_200,512,xdpgeneric,0.0.0.255,60,1,12,1,0,64,1.065.027,1.008.791,205.178,7.953,269.124,18.193,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
2,for_0_a_200,256,xdpdrv,0.0.0.255,60,1,23,1,0,63,978.010,1.004.376,204.544,8.096,267.802,15.864,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
2,for_0_a_12800,128,xdpgeneric,0.0.0.255,60,1,22,1,0,64,971.950,1.013.342,205.628,7.495,270.338,15.822,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
8,for_0_a_1600,128,xdpdrv,0.0.0.255,60,0,63,1,0,64,1.558.992,1.028.605,208.962,7.569,274.606,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
8,for_0_a_100,1500,xdpgeneric,0.0.0.255,60,0,93,1,0,64,1.282.294,1.008.804,205.224,8.000,269.100,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
2,for_0_a_1600,1024,xdpdrv,0.0.0.255,60,1,21,1,0,62,965.039,1.000.025,203.688,7.803,266.728,15.685,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
2,for_0_a_1600,1500,xdpdrv,0.0.0.255,60,1,21,1,0,64,963.112,1.009.839,205.105,8.043,269.300,16.227,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
8,for_0_a_3200,512,xdpdrv,0.0.0.255,60,0,62,1,0,63,1.526.485,1.005.502,205.023,8.125,268.374,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
2,for_0_a_3200,256,xdpdrv,0.0.0.255,60,1,20,1,0,64,937.132,1.028.138,209.178,8.068,274.608,19.918,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
2,for_0_a_12800,1500,xdpgeneric,0.0.0.255,60,1,14,1,0,64,987.412,1.027.192,209.124,8.011,274.334,19.523,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
4,for_0_a_0,1500,xdpdrv,0.0.0.255,60,1,14,1,0,64,1.116.496,1.159.508,232.494,8.177,316.128,22.660,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
8,for_0_a_400,64,xdpdrv,0.0.0.255,60,0,65,1,0,65,1.613.614,1.042.144,211.957,7.917,278.308,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
4,for_0_a_0,64,xdpdrv,0.0.0.255,60,0,78,1,0,63,1.453.434,1.007.491,205.298,7.938,268.513,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
4,for_0_a_400,128,xdpdrv,0.0.0.255,60,1,10,1,0,65,866.251,1.020.096,208.009,7.846,272.093,30.423,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
4,for_0_a_3200,128,xdpgeneric,0.0.0.255,60,1,25,1,0,64,989.631,1.011.837,205.834,7.707,269.987,15.180,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
2,for_0_a_3200,1024,xdpgeneric,0.0.0.255,60,1,22,1,0,64,960.926,1.014.421,207.249,7.870,270.733,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
4,for_0_a_800,256,xdpgeneric,0.0.0.255,60,1,30,1,0,64,1.033.033,1.035.776,210.609,7.867,276.360,15.788,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
2,for_0_a_1600,64,xdpgeneric,0.0.0.255,60,1,26,1,0,64,995.980,1.012.566,206.217,7.711,269.944,15.749,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
2,for_0_a_6400,1024,xdpgeneric,0.0.0.255,60,0,97,1,0,62,981.612,989.400,201.478,7.899,263.938,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
4,for_0_a_200,256,xdpdrv,0.0.0.255,60,1,16,1,0,64,915.372,1.008.584,205.439,7.591,268.833,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
8,for_0_a_200,1024,xdpdrv,0.0.0.255,60,0,94,1,0,65,1.207.331,1.036.904,211.357,7.935,276.817,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
8,for_0_a_6400,1024,xdpgeneric,0.0.0.255,60,0,71,1,0,65,1.761.330,1.050.367,212.884,8.068,279.842,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
2,for_0_a_1600,256,xdpgeneric,0.0.0.255,60,1,23,1,0,63,969.973,1.000.641,204.013,7.773,266.858,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
8,for_0_a_1600,1500,xdpgeneric,0.0.0.255,60,0,72,1,0,64,1.694.505,1.030.518,210.149,7.997,275.150,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
2,for_0_a_800,128,xdpdrv,0.0.0.255,60,1,23,1,0,65,976.307,1.016.788,207.175,8.104,271.502,15.658,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
4,for_0_a_200,256,xdpgeneric,0.0.0.255,60,1,09,1,0,62,1.050.979,1.007.035,205.523,7.874,268.599,17.205,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
8,for_0_a_800,1500,xdpgeneric,0.0.0.255,60,1,15,1,0,64,2.070.753,3.124.104,602.335,8.486,964.685,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
8,for_0_a_800,256,xdpdrv,0.0.0.255,60,0,63,1,0,65,1.541.944,1.020.198,207.518,7.973,272.734,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
4,for_0_a_100,512,xdpgeneric,0.0.0.255,60,1,18,1,0,63,1.020.977,1.008.651,205.451,7.674,268.787,23.325,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
8,for_0_a_12800,512,xdpgeneric,0.0.0.255,60,0,68,1,0,64,1.665.287,1.008.982,205.470,7.981,269.622,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
8,for_0_a_200,1500,xdpdrv,0.0.0.255,60,0,98,1,0,64,1.153.626,1.027.621,208.939,8.062,274.313,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
2,for_0_a_100,1500,xdpdrv,0.0.0.255,60,0,93,1,0,64,1.282.343,1.016.286,206.617,8.178,271.105,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
1,for_0_a_12800,128,xdpdrv,0.0.0.255,60,1,17,1,0,64,920.376,1.016.085,206.682,7.664,270.953,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
2,for_0_a_3200,128,xdpdrv,0.0.0.255,60,1,20,1,0,64,944.187,1.018.029,207.288,7.800,271.501,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
8,for_0_a_800,64,xdpdrv,0.0.0.255,60,0,61,1,0,64,1.509.750,1.009.131,205.981,7.924,269.126,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
2,for_0_a_0,256,xdpgeneric,0.0.0.255,60,1,02,1,0,64,1.096.774,1.060.463,214.107,8.179,282.417,6.124,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
1,for_0_a_400,128,xdpdrv,0.0.0.255,60,1,21,1,0,64,958.491,1.010.777,205.625,7.332,269.690,16.375,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
1,for_0_a_12800,1500,xdpdrv,0.0.0.255,60,1,20,1,0,64,946.376,1.015.803,205.877,8.075,270.997,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
4,for_0_a_12800,128,xdpdrv,0.0.0.255,60,1,13,1,0,64,976.563,1.025.448,208.995,7.842,273.873,23.256,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
1,for_0_a_3200,128,xdpdrv,0.0.0.255,60,1,18,1,0,62,928.169,999.762,203.412,7.814,266.487,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
4,for_0_a_800,64,xdpgeneric,0.0.0.255,60,1,31,1,0,65,1.037.416,1.041.438,211.091,7.885,278.157,15.727,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
1,for_0_a_200,64,xdpdrv,0.0.0.255,60,1,15,1,0,64,948.297,1.033.040,209.640,7.596,275.867,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
1,for_0_a_1600,1024,xdpdrv,0.0.0.255,60,1,19,1,0,64,942.883,1.023.486,207.826,7.738,273.016,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
4,for_0_a_200,512,xdpdrv,0.0.0.255,60,1,18,1,0,64,934.563,1.015.791,206.209,7.301,271.154,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
8,for_0_a_1600,64,xdpdrv,0.0.0.255,60,0,62,1,0,64,1.536.742,1.033.770,209.241,8.073,276.192,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
2,for_0_a_3200,128,xdpgeneric,0.0.0.255,60,1,26,1,0,65,1.004.294,1.030.469,209.610,7.847,274.969,15.411,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
4,for_0_a_100,1500,xdpgeneric,0.0.0.255,60,1,29,1,0,63,1.021.524,1.018.850,206.901,7.969,271.953,16.509,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
4,for_0_a_200,64,xdpdrv,0.0.0.255,60,1,22,1,0,64,968.643,1.010.027,206.331,7.874,269.456,16.326,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
2,for_0_a_400,128,xdpdrv,0.0.0.255,60,1,19,1,0,64,926.202,1.010.254,205.796,7.772,269.638,18.538,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
8,for_0_a_800,128,xdpgeneric,0.0.0.255,60,0,72,1,0,64,1.784.820,1.025.699,208.849,7.832,274.161,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
4,for_0_a_100,512,xdpdrv,0.0.0.255,60,1,11,1,0,65,963.512,1.014.756,206.515,7.598,270.673,19.393,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
1,for_0_a_6400,512,xdpdrv,0.0.0.255,60,1,20,1,0,64,946.782,1.013.481,206.134,7.954,270.567,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
8,for_0_a_0,512,xdpdrv,0.0.0.255,60,1,14,1,0,64,1.112.547,1.179.000,236.034,8.347,322.625,21.807,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
1,for_0_a_400,64,xdpgeneric,0.0.0.255,60,1,00,1,0,63,1.014.354,1.010.758,206.060,7.827,269.712,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
1,for_0_a_3200,256,xdpdrv,0.0.0.255,60,1,16,1,0,65,916.178,1.031.502,209.461,7.365,275.276,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
2,for_0_a_800,512,xdpgeneric,0.0.0.255,60,1,28,1,0,63,1.015.098,1.011.759,206.562,8.179,269.849,15.920,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
2,for_0_a_0,1500,xdpdrv,0.0.0.255,60,1,10,1,0,64,1.192.154,1.260.911,250.515,8.019,347.683,27.979,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
1,for_0_a_800,128,xdpdrv,0.0.0.255,60,1,18,1,0,64,929.707,1.001.824,204.093,7.880,267.152,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
2,for_0_a_100,1024,xdpdrv,0.0.0.255,60,1,20,1,0,63,938.225,1.002.014,203.578,7.695,267.247,18.349,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
4,for_0_a_200,1024,xdpgeneric,0.0.0.255,60,1,13,1,0,63,1.000.568,1.006.841,204.942,7.837,268.812,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
2,for_0_a_400,512,xdpgeneric,0.0.0.255,60,1,31,1,0,65,1.043.657,1.037.845,210.554,8.016,277.137,16.113,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
1,for_0_a_0,512,xdpdrv,0.0.0.255,60,1,28,1,0,64,1.017.354,1.030.779,210.356,8.153,275.384,16.113,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
2,for_0_a_200,64,xdpgeneric,0.0.0.255,60,1,28,1,0,63,1.017.648,1.006.106,204.758,7.898,268.516,15.626,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
8,for_0_a_400,64,xdpgeneric,0.0.0.255,60,0,74,1,0,65,1.827.776,1.016.854,207.083,8.190,271.019,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
4,for_0_a_800,64,xdpdrv,0.0.0.255,60,1,21,1,0,64,956.796,1.021.806,207.580,8.254,272.524,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
2,for_0_a_800,64,xdpgeneric,0.0.0.255,60,1,27,1,0,64,1.011.506,1.029.276,209.259,8.007,274.634,15.756,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
8,for_0_a_1600,256,xdpgeneric,0.0.0.255,60,0,70,1,0,63,1.733.836,1.021.759,208.102,8.061,273.065,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
1,for_0_a_100,256,xdpgeneric,0.0.0.255,60,1,07,1,0,63,1.024.024,1.013.008,206.364,7.765,270.010,5.509,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
2,for_0_a_12800,1024,xdpdrv,0.0.0.255,60,1,19,1,0,65,942.108,1.022.595,208.002,7.775,272.964,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
2,for_0_a_0,1024,xdpgeneric,0.0.0.255,60,1,26,1,0,62,993.578,1.004.880,204.968,8.061,268.155,15.356,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
8,for_0_a_0,256,xdpdrv,0.0.0.255,60,1,04,1,0,64,1.128.547,1.205.977,240.755,8.037,331.072,30.451,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
4,for_0_a_6400,256,xdpdrv,0.0.0.255,60,1,11,1,0,65,957.601,1.032.412,210.559,7.730,275.737,18.539,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
8,for_0_a_800,512,xdpgeneric,0.0.0.255,60,0,74,1,0,65,1.832.625,1.031.393,209.759,7.872,275.409,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
8,for_0_a_3200,128,xdpgeneric,0.0.0.255,60,0,71,1,0,65,1.751.058,1.039.015,211.049,8.067,277.910,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
8,for_0_a_0,1500,xdpdrv,0.0.0.255,60,1,18,1,0,62,1.045.614,1.008.187,205.584,7.993,269.113,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
1,for_0_a_100,128,xdpgeneric,0.0.0.255,60,1,02,1,0,64,1.022.497,1.004.639,204.517,8.213,268.003,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
2,for_0_a_1600,512,xdpdrv,0.0.0.255,60,1,22,1,0,63,963.741,1.032.881,210.267,7.780,275.598,16.257,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
8,for_0_a_6400,64,xdpgeneric,0.0.0.255,60,0,70,1,0,64,1.718.033,1.019.490,207.440,8.327,272.560,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
4,for_0_a_3200,256,xdpdrv,0.0.0.255,60,1,23,1,0,64,968.379,1.036.952,211.381,8.059,276.860,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
1,for_0_a_0,512,xdpgeneric,0.0.0.255,60,1,13,1,0,63,978.294,1.016.231,205.951,7.970,270.314,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
4,for_0_a_1600,256,xdpgeneric,0.0.0.255,60,1,29,1,0,64,1.023.963,1.043.261,212.146,7.846,278.617,15.804,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
4,for_0_a_800,1024,xdpdrv,0.0.0.255,60,1,16,1,0,62,913.489,1.003.185,204.271,7.541,267.306,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
8,for_0_a_200,1500,xdpgeneric,0.0.0.255,60,1,20,1,0,64,1.792.576,1.954.816,378.829,8.560,572.616,38.393,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
2,for_0_a_400,1500,xdpdrv,0.0.0.255,60,1,15,1,0,63,908.797,1.006.900,205.294,7.530,268.367,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
2,for_0_a_800,512,xdpdrv,0.0.0.255,60,1,17,1,0,63,926.326,1.006.078,204.690,7.833,268.371,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
2,for_0_a_200,256,xdpgeneric,0.0.0.255,60,1,17,1,0,64,1.012.975,1.020.765,208.039,8.113,272.236,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
4,for_0_a_100,1500,xdpdrv,0.0.0.255,60,1,17,1,0,65,925.487,1.023.988,208.478,7.516,273.073,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
8,for_0_a_1600,256,xdpdrv,0.0.0.255,60,0,62,1,0,63,1.514.791,1.014.541,206.352,7.649,270.953,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
8,for_0_a_200,64,xdpgeneric,0.0.0.255,60,0,74,1,1,62,1.814.201,1.009.452,205.252,7.738,269.063,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
1,for_0_a_400,256,xdpdrv,0.0.0.255,60,1,19,1,0,63,928.159,1.014.300,206.421,7.319,270.440,18.034,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
8,for_0_a_12800,1500,xdpdrv,0.0.0.255,60,0,63,1,0,63,1.554.131,1.017.169,206.597,7.943,271.489,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
1,for_0_a_3200,128,xdpgeneric,0.0.0.255,60,1,23,1,0,63,978.695,1.016.901,206.418,7.527,270.546,15.547,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
4,for_0_a_800,1500,xdpdrv,0.0.0.255,60,1,15,1,0,63,958.790,1.010.367,205.152,7.938,269.746,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
4,for_0_a_400,256,xdpgeneric,0.0.0.255,60,1,28,1,0,64,1.014.242,1.022.130,208.239,7.729,272.631,15.481,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
8,for_0_a_12800,64,xdpdrv,0.0.0.255,60,0,62,1,0,64,1.534.518,1.020.863,207.757,7.991,272.374,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
2,for_0_a_800,256,xdpdrv,0.0.0.255,60,1,19,1,0,64,957.599,1.029.943,210.018,7.956,274.953,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
8,for_0_a_12800,1500,xdpgeneric,0.0.0.255,60,0,68,1,0,63,1.674.203,1.009.976,205.275,7.904,269.828,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>,<notcounted>
