combined,algoritmo,packet_size,hook_ebpf,var_ip,timeout,rx_packets,rx_packet_rate_avg,rx_packet_rate
4,for_0_a_3200,256,xdpdrv,0.0.0.255,60,22790720,0.0,383037.6
2,for_0_a_3200,128,xdpgeneric,0.0.0.255,60,10291378,131578.95,172964.54
1,for_0_a_3200,512,xdpgeneric,0.0.0.255,60,6817353,93896.71,114577.48
1,for_0_a_3200,64,xdpdrv,0.0.0.255,60,5697347,0.0,95753.74
4,for_0_a_6400,256,xdpdrv,0.0.0.255,60,11440896,0.0,192284.33
8,for_0_a_6400,512,xdpdrv,0.0.0.255,60,26080547,1785714.32,438329.89
1,for_0_a_6400,64,xdpdrv,0.0.0.255,60,0,0.0,0.0
2,for_0_a_6400,256,xdpdrv,0.0.0.255,60,5730112,0.0,96304.45
4,for_0_a_6400,512,xdpgeneric,0.0.0.255,60,14050620,301204.82,236145.12
8,for_0_a_6400,1024,xdpgeneric,0.0.0.255,60,27421769,390625.0,460870.59
4,for_0_a_6400,1024,xdpgeneric,0.0.0.255,60,14024937,178253.12,235713.52
8,for_0_a_6400,1024,xdpdrv,0.0.0.255,60,26087744,0.0,438449.41
4,for_0_a_6400,128,xdpdrv,0.0.0.255,60,11441345,0.0,192291.58
8,for_0_a_6400,1500,xdpgeneric,0.0.0.255,60,27435482,609756.12,461101.06
8,for_0_a_6400,256,xdpgeneric,0.0.0.255,60,27536810,389105.04,462804.07
4,for_0_a_6400,1500,xdpgeneric,0.0.0.255,60,14012750,93808.63,235508.65
1,for_0_a_6400,256,xdpdrv,0.0.0.255,60,0,0.0,0.0
1,for_0_a_6400,512,xdpgeneric,0.0.0.255,60,0,0.0,0.0
1,for_0_a_6400,64,xdpgeneric,0.0.0.255,60,2756814,48100.05,46333.06
1,for_0_a_6400,1500,xdpdrv,0.0.0.255,60,0,0.0,0.0
4,for_0_a_6400,512,xdpdrv,0.0.0.255,60,11438722,15071.59,192247.53
1,for_0_a_6400,512,xdpdrv,0.0.0.255,60,0,0.0,0.0
4,for_0_a_6400,128,xdpgeneric,0.0.0.255,60,14068408,289017.34,236444.13
2,for_0_a_6400,1500,xdpdrv,0.0.0.255,60,5733504,0.0,96361.51
8,for_0_a_6400,64,xdpdrv,0.0.0.255,60,26070595,0.0,438161.18
2,for_0_a_6400,1024,xdpgeneric,0.0.0.255,60,6070083,176678.45,102018.61
2,for_0_a_6400,64,xdpdrv,0.0.0.255,60,5735235,0.0,96390.55
2,for_0_a_6400,128,xdpdrv,0.0.0.255,60,5730689,0.0,96314.06
8,for_0_a_6400,128,xdpgeneric,0.0.0.255,60,27573871,1785714.32,463426.98
8,for_0_a_6400,128,xdpdrv,0.0.0.255,60,26064385,0.0,438057.4
1,for_0_a_6400,128,xdpdrv,0.0.0.255,60,0,0.0,0.0
1,for_0_a_6400,1500,xdpgeneric,0.0.0.255,60,0,0.0,0.0
4,for_0_a_6400,256,xdpgeneric,0.0.0.255,60,14067285,101522.84,236425.72
1,for_0_a_6400,128,xdpgeneric,0.0.0.255,60,0,0.0,0.0
2,for_0_a_6400,512,xdpgeneric,0.0.0.255,60,6070944,56433.41,102032.84
2,for_0_a_6400,1500,xdpgeneric,0.0.0.255,60,6103254,56306.31,102576.13
8,for_0_a_6400,64,xdpgeneric,0.0.0.255,60,27593671,624999.95,463759.74
2,for_0_a_6400,512,xdpdrv,0.0.0.255,60,5738305,0.0,96442.17
4,for_0_a_6400,64,xdpdrv,0.0.0.255,60,11446531,0.0,192379.38
4,for_0_a_6400,1024,xdpdrv,0.0.0.255,60,11448576,0.0,192413.68
2,for_0_a_6400,64,xdpgeneric,0.0.0.255,60,6095208,63171.19,102440.76
4,for_0_a_6400,1500,xdpdrv,0.0.0.255,60,11443392,0.0,192326.13
1,for_0_a_6400,1024,xdpdrv,0.0.0.255,60,0,0.0,0.0
8,for_0_a_6400,256,xdpdrv,0.0.0.255,60,26059584,0.0,437979.02
2,for_0_a_6400,128,xdpgeneric,0.0.0.255,60,6091317,178890.88,102375.71
1,for_0_a_6400,256,xdpgeneric,0.0.0.255,60,0,0.0,0.0
2,for_0_a_6400,256,xdpgeneric,0.0.0.255,60,6082365,63613.23,102225.02
2,for_0_a_6400,1024,xdpdrv,0.0.0.255,60,5737280,0.0,96424.86
4,for_0_a_6400,64,xdpgeneric,0.0.0.255,60,14078167,149925.03,236608.11
1,for_0_a_6400,1024,xdpgeneric,0.0.0.255,60,0,0.0,0.0
8,for_0_a_6400,512,xdpgeneric,0.0.0.255,60,27480277,177304.96,461854.61
8,for_0_a_6400,1500,xdpdrv,0.0.0.255,60,26082429,636942.68,438360.66
1,for_0_a_400,256,xdpgeneric,0.0.0.255,60,26960843,393700.78,453123.96
1,for_0_a_400,64,xdpdrv,0.0.0.255,60,41780166,39677.29,702187.85
2,for_0_a_400,1500,xdpgeneric,0.0.0.255,60,48978729,735294.13,823172.94
4,for_0_a_400,512,xdpgeneric,0.0.0.255,60,98464389,1127819.55,1654865.7
1,for_0_a_400,1500,xdpgeneric,0.0.0.255,60,25993640,602409.66,436868.43
1,for_0_a_400,256,xdpdrv,0.0.0.255,60,41660979,2222222.26,700185.35
2,for_0_a_400,512,xdpgeneric,0.0.0.255,60,50912877,591715.98,855681.38
4,for_0_a_400,128,xdpdrv,0.0.0.255,60,186206403,58771.67,3129530.88
8,for_0_a_400,256,xdpdrv,0.0.0.255,60,269878526,3508771.95,4535779.88
8,for_0_a_400,128,xdpdrv,0.0.0.255,60,424350697,10389609.82,7131979.02
1,for_0_a_400,128,xdpdrv,0.0.0.255,60,41654850,12738.91,700083.12
4,for_0_a_400,1024,xdpgeneric,0.0.0.255,60,71342371,1257861.63,1199032.9
8,for_0_a_400,128,xdpgeneric,0.0.0.255,60,166174069,3448275.83,2792844.93
2,for_0_a_400,1500,xdpdrv,0.0.0.255,60,49002497,1851851.55,823572.4
4,for_0_a_400,1024,xdpdrv,0.0.0.255,60,71346343,637082.6,1199099.65
4,for_0_a_400,256,xdpgeneric,0.0.0.255,60,98421139,641025.65,1654138.73
4,for_0_a_400,1500,xdpdrv,0.0.0.255,60,49007269,636942.68,823652.5
2,for_0_a_400,256,xdpdrv,0.0.0.255,60,92438978,38284.84,1553597.31
4,for_0_a_400,64,xdpgeneric,0.0.0.255,60,98815302,3260869.6,1660763.42
2,for_0_a_400,1024,xdpgeneric,0.0.0.255,60,50306726,1786814.53,845493.86
2,for_0_a_400,512,xdpdrv,0.0.0.255,60,92906498,45351.47,1561455.14
8,for_0_a_400,1500,xdpdrv,0.0.0.255,60,49006705,389105.06,823644.93
8,for_0_a_400,64,xdpdrv,0.0.0.255,60,425803430,3509302.67,7156368.6
1,for_0_a_400,1024,xdpgeneric,0.0.0.255,60,26292006,280112.05,441882.96
8,for_0_a_400,256,xdpgeneric,0.0.0.255,60,165100859,1242236.0,2774807.62
2,for_0_a_400,1024,xdpdrv,0.0.0.255,60,71343299,1265822.78,1199048.38
8,for_0_a_400,1024,xdpdrv,0.0.0.255,60,71364256,1257861.63,1199400.7
2,for_0_a_400,256,xdpgeneric,0.0.0.255,60,53063528,808625.34,891825.04
4,for_0_a_400,128,xdpgeneric,0.0.0.255,60,98357343,3705281.2,1653070.53
4,for_0_a_400,64,xdpdrv,0.0.0.255,60,186557653,2958579.92,3135434.31
8,for_0_a_400,512,xdpdrv,0.0.0.255,60,140036371,1807228.84,2353555.14
1,for_0_a_400,512,xdpgeneric,0.0.0.255,60,26719504,150829.56,449068.3
8,for_0_a_400,64,xdpgeneric,0.0.0.255,60,167172765,1273885.35,2809629.62
1,for_0_a_400,1500,xdpdrv,0.0.0.255,60,41654853,649350.66,700082.39
2,for_0_a_400,128,xdpdrv,0.0.0.255,60,92809426,13279908.44,1559827.62
4,for_0_a_400,256,xdpdrv,0.0.0.255,60,185643258,6896551.66,3120068.65
2,for_0_a_400,64,xdpdrv,0.0.0.255,60,92796614,60950.83,1559608.61
2,for_0_a_400,64,xdpgeneric,0.0.0.255,60,52972485,621118.01,890295.2
8,for_0_a_400,1024,xdpgeneric,0.0.0.255,60,71354975,1234567.92,1199244.71
1,for_0_a_400,512,xdpdrv,0.0.0.255,60,41724484,45843.52,701254.23
4,for_0_a_400,1500,xdpgeneric,0.0.0.255,60,49003358,277777.78,823589.79
1,for_0_a_400,1024,xdpdrv,0.0.0.255,60,41676502,1819322.47,700446.25
4,for_0_a_400,512,xdpdrv,0.0.0.255,60,140021176,4920814.12,2353299.97
8,for_0_a_400,1500,xdpgeneric,0.0.0.255,60,49006431,806526.37,823638.46
1,for_0_a_400,128,xdpgeneric,0.0.0.255,60,27075513,178253.12,455051.16
8,for_0_a_400,512,xdpgeneric,0.0.0.255,60,139964174,2711864.4,2352341.72
2,for_0_a_400,128,xdpgeneric,0.0.0.255,60,53132246,1249999.99,892979.97
1,for_0_a_400,64,xdpgeneric,0.0.0.255,60,26816205,207900.21,450693.06
8,for_0_a_800,256,xdpgeneric,0.0.0.255,60,133044712,738101.33,2236048.18
4,for_0_a_800,1024,xdpdrv,0.0.0.255,60,71344637,1258134.56,1199070.91
2,for_0_a_800,256,xdpdrv,0.0.0.255,60,43758534,1061007.98,735441.02
4,for_0_a_800,64,xdpgeneric,0.0.0.255,60,69420785,1886792.98,1166737.27
1,for_0_a_800,64,xdpgeneric,0.0.0.255,60,20727837,408163.26,348368.04
8,for_0_a_800,1500,xdpgeneric,0.0.0.255,60,48996167,389105.04,823465.98
4,for_0_a_800,64,xdpdrv,0.0.0.255,60,99171101,2597402.45,1666746.85
1,for_0_a_800,1500,xdpdrv,0.0.0.255,60,28529463,1818181.5,479488.88
1,for_0_a_800,64,xdpdrv,0.0.0.255,60,28588995,0.0,480488.57
2,for_0_a_800,1024,xdpgeneric,0.0.0.255,60,31031269,207483.72,521536.0
1,for_0_a_800,512,xdpdrv,0.0.0.255,60,28571073,0.0,480186.42
2,for_0_a_800,1500,xdpdrv,0.0.0.255,60,43736623,641025.69,735070.2
4,for_0_a_800,128,xdpdrv,0.0.0.255,60,99064707,41528.24,1664957.56
8,for_0_a_800,512,xdpdrv,0.0.0.255,60,139982793,6329113.46,2352654.92
4,for_0_a_800,256,xdpdrv,0.0.0.255,60,99045600,9890110.69,1664637.15
1,for_0_a_800,512,xdpgeneric,0.0.0.255,60,20311920,217391.3,341377.24
8,for_0_a_800,1024,xdpgeneric,0.0.0.255,60,71348451,1273885.35,1199135.14
8,for_0_a_800,64,xdpdrv,0.0.0.255,60,174843141,55478.5,2938543.12
2,for_0_a_800,512,xdpdrv,0.0.0.255,60,43761602,16863.41,735491.92
8,for_0_a_800,1500,xdpdrv,0.0.0.255,60,49006558,754717.0,823640.58
2,for_0_a_800,512,xdpgeneric,0.0.0.255,60,31111192,547945.2,522877.78
4,for_0_a_800,128,xdpgeneric,0.0.0.255,60,69184645,754717.0,1162768.51
1,for_0_a_800,128,xdpdrv,0.0.0.255,60,28569217,0.0,480155.32
2,for_0_a_800,128,xdpdrv,0.0.0.255,60,43786947,20870.29,735915.45
