combined,algoritmo,packet_size,hook_ebpf,var_ip,timeout,context_switches,cpu_migrations,page_faults,cycles,instructions,branches,branch_misses,L1_dcache_loads,L1_dcache_load_misses,LLC_loads,LLC_load_misses,L1_icache_load_misses,dTLB_loads,dTLB_load_misses,iTLB_loads,iTLB_load_misses
8,for_0_a_6400,1500,xdpgeneric,0.0.0.255,60,1,0,62,1.654.454,999.028,203.509,7.770,266.808,0,0,0,0,0,0,0,0
2,for_0_a_3200,1500,xdpgeneric,0.0.0.255,60,1,0,65,980.277,1.044.994,212.226,7.588,278.521,0,0,0,0,0,0,0,0
1,for_0_a_200,1024,xdpdrv,0.0.0.255,60,1,0,63,957.504,1.017.769,206.687,7.792,270.496,22.397,0,0,0,0,0,0,0
1,for_0_a_200,1500,xdpdrv,0.0.0.255,60,1,0,64,964.373,1.031.355,209.793,7.955,275.415,19.104,0,0,0,0,0,0,0
4,for_0_a_200,128,xdpgeneric,0.0.0.255,60,1,0,62,1.009.137,1.006.076,205.076,7.791,268.086,15.212,0,0,0,0,0,0,0
1,for_0_a_800,1024,xdpdrv,0.0.0.255,60,1,0,64,946.014,1.023.482,208.344,7.855,273.428,19.856,0,0,0,0,0,0,0
4,for_0_a_6400,1500,xdpdrv,0.0.0.255,60,1,0,64,947.354,1.030.782,209.723,7.382,275.369,18.421,0,0,0,0,0,0,0
1,for_0_a_100,1500,xdpgeneric,0.0.0.255,60,1,0,63,957.861,1.005.276,204.334,7.936,268.225,17.766,0,0,0,0,0,0,0
4,for_0_a_0,512,xdpgeneric,0.0.0.255,60,1,0,64,1.033.455,1.019.755,207.570,7.820,272.037,15.343,0,0,0,0,0,0,0
8,for_0_a_3200,1500,xdpdrv,0.0.0.255,60,1,0,64,1.566.563,1.009.498,205.716,7.729,269.484,0,0,0,0,0,0,0,0
8,for_0_a_100,512,xdpdrv,0.0.0.255,60,1,0,64,1.199.550,1.018.892,207.774,7.819,271.618,0,0,0,0,0,0,0,0
1,for_0_a_200,1024,xdpgeneric,0.0.0.255,60,1,0,63,957.638,1.004.337,204.106,8.006,267.717,0,0,0,0,0,0,0,0
4,for_0_a_1,64,xdpdrv,0.0.0.255,60,1,0,63,2.323.185,2.769.348,514.394,8.653,828.130,29.727,0,0,0,0,0,0,0
1,for_0_a_400,64,xdpdrv,0.0.0.255,60,1,0,63,971.587,1.042.619,211.834,7.975,278.389,0,0,0,0,0,0,0,0
8,for_0_a_6400,512,xdpdrv,0.0.0.255,60,1,0,64,1.596.560,1.023.595,208.289,8.086,273.635,0,0,0,0,0,0,0,0
2,for_0_a_100,512,xdpdrv,0.0.0.255,60,1,0,64,953.435,1.002.904,204.398,8.015,267.767,18.073,0,0,0,0,0,0,0
4,for_0_a_0,1024,xdpgeneric,0.0.0.255,60,1,0,63,971.046,1.008.788,205.289,7.633,269.085,0,0,0,0,0,0,0,0
2,for_0_a_0,512,xdpdrv,0.0.0.255,60,1,0,63,938.536,1.008.308,205.091,7.317,269.165,20.992,0,0,0,0,0,0,0
1,for_0_a_0,256,xdpdrv,0.0.0.255,60,1,0,64,958.859,1.011.502,205.348,7.780,269.892,0,0,0,0,0,0,0,0
4,for_0_a_1,1024,xdpgeneric,0.0.0.255,60,1,0,63,2.536.131,2.206.302,410.853,9.066,635.238,0,0,0,0,0,0,0,0
4,for_0_a_3200,1500,xdpgeneric,0.0.0.255,60,1,0,64,1.002.345,1.017.314,207.394,8.115,271.284,15.990,0,0,0,0,0,0,0
4,for_0_a_400,64,xdpgeneric,0.0.0.255,60,1,0,63,992.442,1.001.565,203.863,7.930,267.322,0,0,0,0,0,0,0,0
2,for_0_a_1,512,xdpgeneric,0.0.0.255,60,1,0,63,1.031.043,1.025.155,207.759,7.833,272.445,16.481,0,0,0,0,0,0,0
4,for_0_a_3200,1500,xdpdrv,0.0.0.255,60,1,0,64,944.567,1.016.798,207.010,7.396,271.541,0,0,0,0,0,0,0,0
8,for_0_a_0,512,xdpgeneric,0.0.0.255,60,1,0,66,2.367.882,2.022.274,379.229,9.090,576.797,77.730,0,0,0,0,0,0,0
8,for_0_a_1600,1024,xdpdrv,0.0.0.255,60,1,0,64,1.582.872,1.030.358,209.396,7.890,275.081,0,0,0,0,0,0,0,0
8,for_0_a_200,512,xdpgeneric,0.0.0.255,60,1,0,65,1.743.327,1.011.540,206.238,8.091,269.991,0,0,0,0,0,0,0,0
8,for_0_a_1600,128,xdpgeneric,0.0.0.255,60,1,0,62,1.763.803,1.018.520,206.856,7.979,271.723,0,0,0,0,0,0,0,0
2,for_0_a_100,1500,xdpgeneric,0.0.0.255,60,1,0,65,1.024.351,1.040.659,211.118,7.403,277.979,15.434,0,0,0,0,0,0,0
1,for_0_a_1600,256,xdpdrv,0.0.0.255,60,1,0,63,951.816,1.013.314,206.612,8.014,270.389,20.086,0,0,0,0,0,0,0
8,for_0_a_100,256,xdpgeneric,0.0.0.255,60,1,0,63,2.038.569,1.001.215,203.902,7.841,267.050,0,0,0,0,0,0,0,0
4,for_0_a_12800,256,xdpdrv,0.0.0.255,60,1,0,64,1.133.744,1.016.116,206.820,7.830,271.013,0,0,0,0,0,0,0,0
1,for_0_a_1600,512,xdpdrv,0.0.0.255,60,1,0,63,936.378,1.007.612,205.133,7.708,268.560,18.316,0,0,0,0,0,0,0
4,for_0_a_6400,64,xdpdrv,0.0.0.255,60,1,0,63,937.900,1.016.484,206.729,7.457,271.310,17.783,0,0,0,0,0,0,0
