combined,algoritmo,packet_size,hook_ebpf,var_ip,timeout,context_switches,cpu_migrations,page_faults,cycles,instructions,branches,branch_misses,L1_dcache_loads,L1_dcache_load_misses,LLC_loads,LLC_load_misses,L1_icache_load_misses,dTLB_loads,dTLB_load_misses,iTLB_loads,iTLB_load_misses
1,for_0_a_6400,256,xdpgeneric,0.0.0.255,60,1,0,64,1.014.423,1.027.457,208.910,8.374,274.137,0,0,0,0,0,0,0,0
2,for_0_a_0,128,xdpgeneric,0.0.0.255,60,1,0,64,987.155,1.038.396,211.483,7.774,277.254,21.116,0,0,0,0,0,0,0
4,for_0_a_400,1500,xdpgeneric,0.0.0.255,60,1,0,64,1.007.882,1.006.707,204.539,7.750,268.424,22.253,0,0,0,0,0,0,0
2,for_0_a_3200,64,xdpgeneric,0.0.0.255,60,1,0,65,1.010.447,1.022.073,208.778,7.609,272.841,23.077,0,0,0,0,0,0,0
8,for_0_a_1,256,xdpgeneric,0.0.0.255,60,1,0,64,1.866.523,1.022.711,207.971,7.803,272.538,0,0,0,0,0,0,0,0
4,for_0_a_12800,64,xdpgeneric,0.0.0.255,60,1,0,64,1.020.353,1.037.442,211.310,7.872,276.885,25.024,0,0,0,0,0,0,0
1,for_0_a_200,1500,xdpgeneric,0.0.0.255,60,1,0,65,1.031.661,1.042.138,211.937,8.209,277.997,22.173,0,0,0,0,0,0,0
2,for_0_a_1600,1500,xdpgeneric,0.0.0.255,60,1,0,65,1.001.654,1.027.667,209.263,7.828,274.492,22.201,0,0,0,0,0,0,0
4,for_0_a_6400,1500,xdpgeneric,0.0.0.255,60,1,0,63,998.170,1.002.804,203.863,7.924,267.574,21.788,0,0,0,0,0,0,0
8,for_0_a_800,64,xdpgeneric,0.0.0.255,60,1,0,65,1.834.055,1.030.869,209.907,8.018,275.653,0,0,0,0,0,0,0,0
8,for_0_a_1,1024,xdpgeneric,0.0.0.255,60,1,0,64,1.760.559,1.028.588,209.365,7.873,275.182,0,0,0,0,0,0,0,0
1,for_0_a_0,64,xdpgeneric,0.0.0.255,60,1,0,65,1.017.387,1.041.911,212.082,8.223,278.305,29.703,0,0,0,0,0,0,0
8,for_0_a_6400,128,xdpgeneric,0.0.0.255,60,1,0,65,1.939.288,1.020.004,207.529,7.937,272.166,0,0,0,0,0,0,0,0
2,for_0_a_6400,1500,xdpgeneric,0.0.0.255,60,1,0,62,986.063,1.007.495,205.222,7.681,268.662,24.074,0,0,0,0,0,0,0
4,for_0_a_1600,1500,xdpgeneric,0.0.0.255,60,1,0,64,1.031.031,1.015.368,205.897,7.960,270.580,0,0,0,0,0,0,0,0
1,for_0_a_800,128,xdpgeneric,0.0.0.255,60,1,0,65,1.001.839,1.029.821,209.736,8.152,275.202,23.411,0,0,0,0,0,0,0
2,for_0_a_12800,512,xdpgeneric,0.0.0.255,60,1,0,64,1.012.745,1.039.930,211.722,7.723,277.574,28.400,0,0,0,0,0,0,0
4,for_0_a_100,256,xdpgeneric,0.0.0.255,60,1,0,64,1.025.070,1.016.193,207.009,7.747,271.142,19.032,0,0,0,0,0,0,0
4,for_0_a_1,512,xdpgeneric,0.0.0.255,60,1,0,63,1.028.403,1.011.038,205.923,7.760,269.979,19.350,0,0,0,0,0,0,0
1,for_0_a_200,128,xdpgeneric,0.0.0.255,60,1,0,64,995.863,1.000.655,203.878,8.216,266.831,0,0,0,0,0,0,0,0
2,for_0_a_12800,1024,xdpgeneric,0.0.0.255,60,1,0,63,988.348,1.006.643,204.467,7.981,268.284,23.896,0,0,0,0,0,0,0
1,for_0_a_1600,64,xdpgeneric,0.0.0.255,60,1,0,64,992.394,1.008.834,205.841,8.092,269.279,11.510,0,0,0,0,0,0,0
1,for_0_a_800,1500,xdpgeneric,0.0.0.255,60,1,0,65,1.004.364,1.018.530,207.891,8.101,271.719,20.644,0,0,0,0,0,0,0
1,for_0_a_400,512,xdpgeneric,0.0.0.255,60,1,0,64,985.839,1.012.619,206.076,7.860,270.088,18.736,0,0,0,0,0,0,0
8,for_0_a_400,1024,xdpgeneric,0.0.0.255,60,1,0,62,1.770.146,1.014.295,206.400,8.006,270.946,0,0,0,0,0,0,0,0
4,for_0_a_100,1024,xdpgeneric,0.0.0.255,60,1,0,65,1.034.690,1.037.198,210.819,8.107,277.246,21.526,0,0,0,0,0,0,0
