combined,algoritmo,packet_size,hook_ebpf,var_ip,timeout,task_clock,context_switches,cpu_migrations,page_faults,cycles,instructions,branches,branch_misses,L1_dcache_loads,L1_dcache_load_misses,LLC_loads,LLC_load_misses,L1_icache_load_misses,dTLB_loads,dTLB_load_misses,iTLB_loads,iTLB_load_misses
4,for_0_a_200,64,xdpgeneric,0.0.0.255,60,1,29,1,0,64,1022318,1021741,208622,7922,272690,14649,0,0,0,0,0,0
1,for_0_a_400,1024,xdpgeneric,0.0.0.255,60,1,27,1,0,63,1005990,1006743,204634,7837,268699,14456,0,0,0,0,0,0
8,for_0_a_400,128,xdpgeneric,0.0.0.255,60,0,76,1,0,63,1865955,1013013,206964,8149,270243,0,0,0,0,0,0,0
1,for_0_a_400,1500,xdpgeneric,0.0.0.255,60,1,30,1,0,66,1026959,1035315,210915,7969,276523,16336,0,0,0,0,0,0
2,for_0_a_800,1500,xdpgeneric,0.0.0.255,60,1,26,1,0,63,996827,1006714,204830,7286,268608,14736,0,0,0,0,0,0
1,for_0_a_200,512,xdpgeneric,0.0.0.255,60,1,24,1,0,63,980087,1004131,205012,7861,267983,14714,0,0,0,0,0,0
2,for_0_a_1600,512,xdpgeneric,0.0.0.255,60,1,28,1,0,64,1014204,1006760,204958,7679,268600,14396,0,0,0,0,0,0
8,for_0_a_3200,64,xdpgeneric,0.0.0.255,60,0,76,1,0,64,1861879,1033721,210211,7984,276744,0,0,0,0,0,0,0
8,for_0_a_6400,1500,xdpgeneric,0.0.0.255,60,1,19,1,0,63,1552029,1366100,266597,8624,384426,32079,0,0,0,0,0,0
2,for_0_a_3200,1500,xdpgeneric,0.0.0.255,60,1,30,1,0,64,1026938,1017683,207261,7914,271387,16322,0,0,0,0,0,0
4,for_0_a_200,128,xdpgeneric,0.0.0.255,60,1,18,1,0,64,2134081,1821597,348372,9941,513045,0,0,0,0,0,0,0
1,for_0_a_100,1500,xdpgeneric,0.0.0.255,60,1,27,1,0,62,1002221,1006458,204623,7820,268421,15067,0,0,0,0,0,0
4,for_0_a_0,512,xdpgeneric,0.0.0.255,60,1,9,1,0,64,1517301,1238487,246782,8411,337072,0,0,0,0,0,0,0
1,for_0_a_200,1024,xdpgeneric,0.0.0.255,60,1,26,1,0,64,999261,1003872,204391,7727,267889,14995,0,0,0,0,0,0
4,for_0_a_0,1024,xdpgeneric,0.0.0.255,60,1,32,1,0,64,1049850,1044269,211027,7602,278089,15366,0,0,0,0,0,0
4,for_0_a_1,1024,xdpgeneric,0.0.0.255,60,0,78,1,0,64,1633259,1034204,210966,7903,276263,0,0,0,0,0,0,0
4,for_0_a_3200,1500,xdpgeneric,0.0.0.255,60,1,27,1,0,63,1004230,1013628,206421,7860,270342,15549,0,0,0,0,0,0
4,for_0_a_400,64,xdpgeneric,0.0.0.255,60,1,19,1,0,64,942813,1007927,205062,7719,268961,17575,0,0,0,0,0,0
2,for_0_a_1,512,xdpgeneric,0.0.0.255,60,1,32,1,0,65,1045806,1051051,213319,7881,280749,14667,0,0,0,0,0,0
8,for_0_a_0,512,xdpgeneric,0.0.0.255,60,0,74,1,0,63,1818215,1001237,203929,8245,267525,0,0,0,0,0,0,0
