combined,algoritmo,packet_size,hook_ebpf,var_ip,timeout,rx_packets,rx_packet_rate_avg,rx_packet_rate,latencymean
1,for_0_a_6400,128,xdpgeneric,0.0.0.255,60,2226369,0.0,37417.95,0.08
8,for_0_a_6400,64,xdpgeneric,0.0.0.255,60,1665164,0.0,27985.96,-1483.97
2,for_0_a_6400,64,xdpgeneric,0.0.0.255,60,2212605,0.0,37186.65,-1116.83
2,for_0_a_6400,128,xdpgeneric,0.0.0.255,60,0,0.0,0.0,0.0
1,for_0_a_6400,256,xdpgeneric,0.0.0.255,60,2223488,0.0,37369.61,0.08
4,for_0_a_6400,64,xdpgeneric,0.0.0.255,60,2163513,0.0,36361.65,-1142.17
1,for_0_a_6400,1024,xdpgeneric,0.0.0.255,60,0,0.0,0.0,0.0
8,for_0_a_6400,512,xdpgeneric,0.0.0.255,60,1792914,0.0,30133.0,-1378.22
1,for_0_a_400,256,xdpgeneric,0.0.0.255,60,22457904,31570.64,377444.21,0.01
2,for_0_a_400,1500,xdpgeneric,0.0.0.255,60,24481431,33422.46,411453.1,0.0
4,for_0_a_400,512,xdpgeneric,0.0.0.255,60,26401055,20772.89,443715.67,-93.6
1,for_0_a_400,1500,xdpgeneric,0.0.0.255,60,20924487,1282051.29,351672.55,0.01
2,for_0_a_400,512,xdpgeneric,0.0.0.255,60,20080184,0.0,337483.12,0.01
4,for_0_a_400,1024,xdpgeneric,0.0.0.255,60,17596172,19940.18,295734.18,0.0
8,for_0_a_400,128,xdpgeneric,0.0.0.255,60,15815383,384666.41,265805.07,0.02
4,for_0_a_400,256,xdpgeneric,0.0.0.255,60,19746997,757575.76,331882.71,0.01
4,for_0_a_400,64,xdpgeneric,0.0.0.255,60,21887312,1423487.54,367854.92,-112.9
2,for_0_a_400,1024,xdpgeneric,0.0.0.255,60,23665160,12904.89,397733.77,0.01
1,for_0_a_400,1024,xdpgeneric,0.0.0.255,60,21148346,15547.26,355434.7,0.01
8,for_0_a_400,256,xdpgeneric,0.0.0.255,60,15608908,1829268.3,262335.33,0.01
2,for_0_a_400,256,xdpgeneric,0.0.0.255,60,21846238,30590.39,367163.72,0.01
4,for_0_a_400,128,xdpgeneric,0.0.0.255,60,20853406,863557.86,350477.84,0.01
1,for_0_a_400,512,xdpgeneric,0.0.0.255,60,22299347,16017.94,374779.4,-110.81
8,for_0_a_400,64,xdpgeneric,0.0.0.255,60,16101214,22563.18,270608.81,-153.46
2,for_0_a_400,64,xdpgeneric,0.0.0.255,60,22181569,14828.0,372799.92,-222.81
8,for_0_a_400,1024,xdpgeneric,0.0.0.255,60,9079229,14005.6,152592.25,0.0
4,for_0_a_400,1500,xdpgeneric,0.0.0.255,60,12180492,27816.41,204714.62,0.0
8,for_0_a_400,1500,xdpgeneric,0.0.0.255,60,6248919,624999.99,105024.06,0.0
1,for_0_a_400,128,xdpgeneric,0.0.0.255,60,22652648,31545.74,380717.02,0.01
8,for_0_a_400,512,xdpgeneric,0.0.0.255,60,17823625,50530.57,299557.17,0.0
2,for_0_a_400,128,xdpgeneric,0.0.0.255,60,21863865,1156069.36,367460.68,0.01
1,for_0_a_400,64,xdpgeneric,0.0.0.255,60,22766985,31994.88,382639.27,-108.53
8,for_0_a_1,64,xdpgeneric,0.0.0.255,60,43232852,1056338.03,726605.13,-171.47
2,for_0_a_1,1500,xdpgeneric,0.0.0.255,60,24535947,37147.1,412369.39,0.0
1,for_0_a_1,64,xdpgeneric,0.0.0.255,60,53256387,55959.71,895066.19,-139.2
1,for_0_a_1,1500,xdpgeneric,0.0.0.255,60,42552363,278551.53,715166.61,0.01
4,for_0_a_1,128,xdpgeneric,0.0.0.255,60,40957243,1818181.88,688357.83,-60.33
4,for_0_a_1,512,xdpgeneric,0.0.0.255,60,34881273,1685393.27,586240.72,0.0
1,for_0_a_1,128,xdpgeneric,0.0.0.255,60,49650887,1840490.81,834469.63,-49.77
4,for_0_a_1,64,xdpgeneric,0.0.0.255,60,45513521,1104972.38,764935.24,-162.88
2,for_0_a_1,512,xdpgeneric,0.0.0.255,60,40492164,645304.85,680543.75,0.01
1,for_0_a_1,1024,xdpgeneric,0.0.0.255,60,44868737,390677.62,754097.31,0.01
4,for_0_a_1,256,xdpgeneric,0.0.0.255,60,38549806,50125.31,647897.81,0.01
8,for_0_a_1,256,xdpgeneric,0.0.0.255,60,34393273,636942.68,578042.13,0.0
2,for_0_a_1,1024,xdpgeneric,0.0.0.255,60,35725154,1785713.96,600423.46,0.0
2,for_0_a_1,64,xdpgeneric,0.0.0.255,60,47921504,1851851.84,805404.34,-154.7
8,for_0_a_1,512,xdpgeneric,0.0.0.255,60,17834062,14009.53,299732.87,0.0
4,for_0_a_1,1024,xdpgeneric,0.0.0.255,60,17731840,25568.91,298014.38,0.0
8,for_0_a_1,1024,xdpgeneric,0.0.0.255,60,9121279,19900.5,153299.0,0.0
8,for_0_a_1,1500,xdpgeneric,0.0.0.255,60,6248317,14200.51,105014.06,0.0
2,for_0_a_1,256,xdpgeneric,0.0.0.255,60,45151382,373134.33,758847.67,0.01
1,for_0_a_1,256,xdpgeneric,0.0.0.255,60,48463197,621118.02,814508.46,0.01
2,for_0_a_1,128,xdpgeneric,0.0.0.255,60,45344752,63613.23,762097.53,-54.49
4,for_0_a_1,1500,xdpgeneric,0.0.0.255,60,12178938,27770.06,204688.25,0.0
8,for_0_a_1,128,xdpgeneric,0.0.0.255,60,39245314,1107011.05,659588.25,-62.96
1,for_0_a_1,512,xdpgeneric,0.0.0.255,60,47449336,1266099.14,797468.89,0.01
8,for_0_a_800,256,xdpgeneric,0.0.0.255,60,9781159,14003.64,164389.33,0.02
4,for_0_a_800,64,xdpgeneric,0.0.0.255,60,13581676,0.0,228263.64,-181.94
1,for_0_a_800,64,xdpgeneric,0.0.0.255,60,13957967,0.0,234587.61,-177.03
8,for_0_a_800,1500,xdpgeneric,0.0.0.255,60,6246542,13075.31,104983.9,0.0
2,for_0_a_800,1024,xdpgeneric,0.0.0.255,60,12898321,0.0,216778.56,0.01
1,for_0_a_800,512,xdpgeneric,0.0.0.255,60,13815381,0.0,232191.55,-178.86
